feature_value,contribution
0.0,5.2788043392841075
0.001,4.968263112200643
0.002,4.66961794840655
0.003,4.382667157078343
0.004,4.107209047392531
0.005,3.843041928525629
0.006,3.5899641096541437
0.008,3.1162696086034747
0.01,2.6845120176526165
0.012,2.2930778102136635
0.014,1.9403534596987015
0.016,1.6247254395198256
0.018000000000000002,1.3445802230891246
0.02,1.0983042838186912
0.022,0.8842840951206153
0.024,0.7009061304069887
0.026000000000000002,0.5465568630899021
0.028,0.4196227665814471
0.03,0.3184903142937142
0.032,0.24154597963879465
0.034,0.18717623602877964
0.036000000000000004,0.15376755687576024
0.038,0.13970641559182756
0.04,0.14337928558907254
0.042,0.16317264027958645
0.044,0.19747295307545998
0.046,0.24466669738878488
0.048,0.30325352586830584
0.05,0.3721858081093833
0.052000000000000005,0.450529092944032
0.054,0.537348929204266
0.056,0.6317108657221007
0.058,0.7326804513295503
0.06,0.8393232348586288
0.062,0.9507047651413513
0.064,1.0658905910097325
0.066,1.1839462612957863
0.068,1.3039373248315278
0.07,1.4249293304489714
0.07200000000000001,1.5459878269801313
0.074,1.666178363257022
0.076,1.7845664881116583
0.078,1.9002177503760553
0.08,2.0121976988822268
0.082,2.119571882462188
0.084,2.221405849947952
0.08600000000000001,2.3167651501715354
0.088,2.40471533196495
0.09,2.4843219441602136
0.092,2.5546505355893387
0.094,2.6147666550843396
0.095,2.640703021866549
0.096,2.663735851477232
0.097,2.683781159141396
0.098,2.7008862465680603
0.099,2.715131237087252
0.1,2.7265962540289927
0.101,2.735361420723311
0.10200000000000001,2.7415068605002286
0.10300000000000001,2.745112696689772
0.10400000000000001,2.7462590526219657
0.10500000000000001,2.7450260516268346
0.106,2.741493817034403
0.108,2.7278521403777383
0.11,2.7059750092921724
0.112,2.6765034104179013
0.114,2.6400783303951254
0.116,2.5973407558640424
0.11800000000000001,2.5489316734648524
0.12,2.4954920698377525
0.122,2.437662931622942
0.124,2.3760852454606183
0.126,2.311399997990982
0.128,2.2442481758542314
0.13,2.175270765690564
0.132,2.105108754140179
0.134,2.0344031278432757
0.136,1.9637948734400519
0.138,1.8939249775707068
0.14,1.8253439084727692
0.14200000000000002,1.7582400607730964
0.14400000000000002,1.6927113106958738
0.146,1.628855534465289
0.148,1.5667706083055275
0.15,1.5065544084407767
0.152,1.4483048110952228
0.154,1.3921196924930535
0.156,1.3380969288584543
0.158,1.2863343964156126
0.16,1.2369299713887154
0.162,1.1899815300019487
0.164,1.1455869484794998
0.166,1.103844103045555
0.168,1.0648508699243011
0.17,1.0287051253399255
0.17200000000000001,0.9955047455166136
0.17400000000000002,0.965347606678553
0.176,0.9383315850499305
0.178,0.914554556854932
0.18,0.8941143983177449
0.182,0.8771089856625554
0.184,0.8636361951135507
0.186,0.8537939028949173
0.188,0.847679985230842
0.19,0.8453923183455114
0.192,0.8469573722496546
0.194,0.8521159921001703
0.195,0.8559395889251433
0.196,0.8605376168405
0.197,0.8658687557141707
0.198,0.8718916854140851
0.199,0.8785650858081733
0.2,0.885847636764366
0.201,0.8936980181505932
0.202,0.9020749098347849
0.203,0.9109369916848712
0.20400000000000001,0.9202429435687824
0.20500000000000002,0.9299514453544486
0.20600000000000002,0.9400211769097999
0.20800000000000002,0.9610790488012789
0.21,0.98308599818666
0.212,1.0057114640093852
0.214,1.0286248852128954
0.216,1.0514957007406316
0.218,1.0739933495360352
0.22,1.0957872705425475
0.222,1.11654690270361
0.224,1.1359416849626633
0.226,1.153641056263149
0.228,1.169314455548508
0.23,1.182631321762182
0.232,1.1933391383398126
0.234,1.201497566685842
0.23600000000000002,1.207244312696913
0.23800000000000002,1.2107170822696685
0.24,1.2120535813007514
0.242,1.2113915156868047
0.244,1.208868591324471
0.246,1.2046225141103934
0.248,1.1987909899412146
0.25,1.191511724713577
0.252,1.1829224243241239
0.254,1.1731607946694982
0.256,1.1623645416463428
0.258,1.1506713711513
0.26,1.1382189890810133
0.262,1.1251451013321248
0.264,1.1115874138012778
0.266,1.0976836323851153
0.268,1.0835714629802802
0.27,1.0693886114834146
0.272,1.0552727837911622
0.274,1.041361685800165
0.276,1.027793023407067
0.278,1.0147045025085095
0.28,1.0022338290011366
0.28200000000000003,0.9905187087815905
0.28400000000000003,0.979669345609907
0.28600000000000003,0.9696859346996898
0.28800000000000003,0.9605411691279361
0.29,0.9522077419716427
0.292,0.9446583463078058
0.294,0.9378656752134228
0.295,0.9347445779663379
0.296,0.9318024217654903
0.297,0.9290357932455046
0.298,0.926441279041005
0.299,0.9240154657866166
0.3,0.9217549401169636
0.301,0.9196562886666709
0.302,0.917716098070363
0.303,0.9159309549626645
0.304,0.9142974459782003
0.305,0.912812157751594
0.306,0.9114716769174713
0.308,0.9092114839651737
0.31,0.9074895601983038
0.312,0.9062785986938587
0.314,0.9055512925288347
0.316,0.9052803347802292
0.318,0.9054384185250383
0.32,0.9059982368402592
0.322,0.9069324828028885
0.324,0.9082138494899232
0.326,0.9098150299783598
0.328,0.9117087173451952
0.33,0.9138676046674259
0.332,0.916264385022049
0.334,0.9188717514860613
0.336,0.9216623971364595
0.338,0.9246090150502397
0.34,0.9276842983043999
0.342,0.9308609399759361
0.34400000000000003,0.9341116331418451
0.34600000000000003,0.9374090708791238
0.34800000000000003,0.940725946264769
0.35000000000000003,0.9440349523757774
0.352,0.9473087822891456
0.354,0.9505201290818709
0.356,0.9536416858309495
0.358,0.9566461456133784
0.36,0.9595062015061544
0.362,0.9621945465862741
0.364,0.9646838739307346
0.366,0.9669468766165323
0.368,0.9689562477206644
0.37,0.9706846803201269
0.372,0.9721048674919175
0.374,0.9731949282074661
0.376,0.9739546850159383
0.378,0.9743893863609334
0.38,0.9745042806860504
0.382,0.9743046164348889
0.384,0.9737956420510473
0.386,0.9729826059781255
0.388,0.9718707566597223
0.39,0.9704653425394373
0.392,0.968771612060869
0.394,0.9667948136676174
0.395,0.9657019041416098
0.396,0.9645401958032809
0.397,0.9633103447080811
0.398,0.9620130069114595
0.399,0.9606488384688666
0.4,0.9592184954357517
0.401,0.9577226338675652
0.402,0.9561619098197569
0.403,0.9545369793477771
0.404,0.9528484985070746
0.405,0.9510971233531003
0.406,0.9492835099413035
0.40800000000000003,0.945472192566043
0.41000000000000003,0.9414197948248922
0.41200000000000003,0.9371315651614509
0.41400000000000003,0.9326127520193169
0.41600000000000004,0.9278686038420909
0.418,0.9229043690733717
0.42,0.9177252961567576
0.422,0.9123366335358486
0.424,0.9067436296542437
0.426,0.9009515329555421
0.428,0.8949655918833429
0.43,0.8887910548812454
0.432,0.8824331703928486
0.434,0.875897186861752
0.436,0.8691883527315544
0.438,0.8623119164458556
0.44,0.8552731264482542
0.442,0.8480772311823493
0.444,0.8407294790917405
0.446,0.833235118620027
0.448,0.8255993982108079
0.45,0.8178275663076819
0.452,0.8099248713542488
0.454,0.801896561794108
0.456,0.7937478860708577
0.458,0.7854840926280978
0.46,0.7771104299094274
0.462,0.7686321463584458
0.464,0.7600544904187517
0.466,0.7513829027714324
0.468,0.7426235930475228
0.47000000000000003,0.7337829631155476
0.47200000000000003,0.7248674148440291
0.47400000000000003,0.7158833501014911
0.47600000000000003,0.706837170756457
0.47800000000000004,0.6977352786774501
0.48,0.6885840757329938
0.482,0.6793899637916113
0.484,0.6701593447218258
0.486,0.6608986203921613
0.488,0.6516141926711404
0.49,0.6423124634272869
0.492,0.6329998345291241
0.494,0.6236827078451755
0.495,0.6190244584174449
0.496,0.614367485243964
0.497,0.6097125885582986
0.498,0.6050605685940136
0.499,0.6004122255846747
0.5,0.5957683597638472
0.501,0.5911297713650965
0.502,0.5864972606219883
0.503,0.5818716277680877
0.504,0.5772536730369601
0.505,0.5726441966621713
0.506,0.5680439988772862
0.508,0.5588746400114899
0.51,0.5497519983080944
0.512,0.5406824756356232
0.514,0.5316724738625997
0.516,0.5227283948575473
0.518,0.513856640488989
0.52,0.5050636126254486
0.522,0.49635571313544935
0.524,0.48773934388751433
0.526,0.4792209067501673
0.528,0.47080680359193133
0.53,0.4625034362813299
0.532,0.4543172066868864
0.534,0.44625451667712407
0.536,0.4383217681205663
0.538,0.4305253628857366
0.54,0.4228717028411581
0.542,0.4153671898553544
0.544,0.40801822579684865
0.546,0.4008312125341643
0.548,0.39381255193582476
0.55,0.38696864587035334
0.552,0.38030589620627336
0.554,0.3738307048121081
0.556,0.36754947355638123
0.558,0.36146720119394465
0.56,0.3555832740249652
0.562,0.3498956752359386
0.5640000000000001,0.34440238801336054
0.5660000000000001,0.3391013955437267
0.5680000000000001,0.3339906810135328
0.5700000000000001,0.32906822760927423
0.5720000000000001,0.32433201851744703
0.5740000000000001,0.31978003692454654
0.5760000000000001,0.31541026601706856
0.578,0.311220688981509
0.58,0.307209289004363
0.582,0.3033740492721265
0.584,0.2997129529712951
0.586,0.2962239832883645
0.588,0.2929051234098304
0.59,0.2897543565221884
0.592,0.28676966581193414
0.594,0.28394903446556335
0.595,0.2825996107996141
0.596,0.2812904456695717
0.597,0.28002128697374784
0.598,0.2787918826104547
0.599,0.2776019804780041
0.6,0.2764513284747081
0.601,0.27533967449887864
0.602,0.27426676644882775
0.603,0.2732323522228671
0.604,0.27223617971930897
0.605,0.27127799683646514
0.606,0.27035755147264773
0.608,0.2686288648953394
0.61,0.26704810317387984
0.612,0.26561324949476467
0.614,0.26432228704448946
0.616,0.26317319900955005
0.618,0.262163968576442
0.62,0.2612925789316609
0.622,0.2605570132617025
0.624,0.2599552547530625
0.626,0.2594852865922364
0.628,0.25914509196572005
0.63,0.2589326540600089
0.632,0.2588459560615988
0.634,0.25888298115698544
0.636,0.25904171253266417
0.638,0.25932013337513093
0.64,0.2597162268708813
0.642,0.260227976206411
0.644,0.2608533645682156
0.646,0.2615903751427908
0.648,0.2624369911166323
0.65,0.26339099709003055
0.652,0.26444938331845536
0.654,0.26560894147117164
0.656,0.2668664632174441
0.658,0.26821874022653747
0.66,0.2696625641677165
0.662,0.271194726710246
0.664,0.27281201952339057
0.666,0.2745112342764151
0.668,0.2762891626385843
0.67,0.27814259627916293
0.672,0.2800683268674157
0.674,0.28206314607260724
0.676,0.2841238455640025
0.678,0.2862472170108663
0.68,0.28843005208246314
0.682,0.29066914244805786
0.684,0.2929612797769154
0.686,0.29530325573830013
