name,spacegroup,ntypes,natoms,delta_e,band_gap,stability,structure_id
BrOF3,19,3,20,-0.966315596,3.136,0.000682708,7779854
INO2F6,12,4,10,-1.331871581,1.387,0.083383536,9951068
PClO2F6,13,4,20,-1.963585252,2.272,0,8638126
OsNO2F6,12,4,10,-1.487014025,1.138,0.052012692,8205067
PNO2F6,2,4,10,-1.992235329,3.618,0.0914768,9136811
SbClO2F6,13,4,20,-1.792068638,2.543,0,1929106
PBrO2F6,13,4,20,-1.911573637,2.122,0,9032730
SbNO2F6,12,4,10,-1.815116661,3.869,0.08099868,7840194
BiNO2F6,12,4,10,-1.537158876,2.824,0,8231400
NbClO2F6,12,4,10,-1.880830098,1.165,0.31794873,8275716
SbIO2F6,12,4,10,-1.500958019,1.034,0.394516107,8245445
RhOF3,76,3,20,-1.282703304,0.713,0.152798935,8531220
TaNO2F6,12,4,10,-2.364415943,3.837,0.023506046,7831344
AsRhO2F6,12,4,10,-1.503138723,1.546,0.311708151,8231394
SbN2ClF6,13,4,20,-1.035716192,1.856,0.627052387,8638132
POF3,76,3,20,-2.664731992,6.058,0.079153341,8207890
POF3,1,3,20,-2.676493567,5.926,0.067391766,8206618
SbAsO2F6,12,4,10,-1.784033847,1.414,0.352112724,7842528
MnIO2F6,12,4,10,-1.374829418,1.171,0.475888303,8245418
SbBrN2F6,2,4,20,-1.587393613,2.371,0.117167848,8638108
RuS2NF6,12,4,10,-1.423170862,1.025,0.140455723,8219048
VOF3,76,3,20,-2.669511646,3.015,0.0489529,8207893
SbC2BrF6,2,4,20,-1.153002777,1.243,0.693116244,8638117
NbOF3,76,3,20,-3.039356489,3.798,0.173187957,8531213
BBrF3,167,3,10,-2.002943451,5.677,0.393376085,6353784
TaOF3,76,3,20,-3.200436008,4.525,0.262724155,8531223
PSF3,33,3,20,-2.207183536,4.491,0.018035415,5269739
AsPS2F6,12,4,10,-1.650854205,2.793,0.427302784,7841692
SbAsS2F6,12,4,10,-1.686965315,2.068,0.310957242,8231528
BiAsS2F6,8,4,10,-1.630565529,1.095,0.41380383,8312111
SbAsSe2F6,12,4,10,-1.640031226,1.337,0.351257478,8312156
VAsS2F6,12,4,10,-1.861133539,0.629,0.345311324,8311709
NbAsS2F6,12,4,10,-2.077165827,2.229,0.254268338,8311694
InPbF3,140,3,10,-2.209116103,1.937,0.141146918,8313628
InPbF3,221,3,5,-2.192277041,1.289,0.15798598,8222817
InPbF3,65,3,5,-2.161508953,1.147,0.188754068,8668224
TlPbF3,161,3,10,-2.343747248,3.633,0.019783768,8468741
TlPbF3,140,3,10,-2.298585231,1.958,0.064945785,8313667
TlPbF3,221,3,5,-2.2878863,1.442,0.075644716,8212348
TlPbF3,65,3,5,-2.259363402,1.329,0.104167614,8267323
TiO3F,14,3,20,-2.280630387,1.052,0.059020374,7766216
NiAgF3,2,3,20,-1.609269563,0.83,0.010800477,8207963
NiAgF3,62,3,20,-1.582140008,0.7,0.037930032,8538194
InGeF3,65,3,5,-2.058024454,1.23,0.164011666,8252237
InGeF3,140,3,10,-2.026275578,0.979,0.195760542,8290605
InGeF3,221,3,5,-2.04173401,0.96,0.18030211,8253471
InHgF3,65,3,5,-1.667874138,1.997,0.554161982,8212797
InHgF3,123,3,5,-1.663633616,1.857,0.558402504,8252179
InHgF3,221,3,5,-1.685322232,1.835,0.536713888,8222339
InHgF3,140,3,10,-1.6911552,1.703,0.53088092,8276815
Tl2SnPbF6,225,4,10,-2.257578096,0.591,0.08791423,6452153
InSnF3,140,3,10,-2.164123375,0.765,0.117280395,8877641
TlIn2RhF6,225,4,10,-1.845042144,1.899,0.462235135,8307052
Tl2AgRhF6,225,4,10,-1.796211979,1.283,0.018937836,5441116
Tl2AgRhF6,14,4,20,-1.815149815,1.134,0,6843397
Tl2AgRhF6,14,4,20,-1.815149535,1.133,0,6843402
Tl2HgOsF6,225,4,10,-1.662670822,1.441,0.112209097,6451435
Tl2CuRhF6,225,4,10,-1.796447147,0.529,0.023389208,5441096
Tl2CuRhF6,14,4,20,-1.80129169,0.525,0.018544665,6849786
Tl2FePbF6,225,4,10,-2.105559917,0.947,0.148690123,6452024
Tl2HgMoF6,225,4,10,-2.011024385,1.368,0.060528445,6411136
TlIn2IrF6,225,4,10,-1.749220206,1.51,0.54185495,8307147
TlIn2RuF6,225,4,10,-1.830961803,0.691,0.460113353,8307156
Tl2AgIrF6,225,4,10,-1.690431327,1.026,0.022044349,5441126
TlIn2AsF6,225,4,10,-2.005744294,1.252,0.28926228,8307489
Tl2CuIrF6,225,4,10,-1.667391571,0.658,0.137887026,6360526
Tl2CuOsF6,225,4,10,-1.596875414,0.627,0.206760522,6410968
TlIn2MoF6,225,4,10,-2.094224559,0.781,0.196850597,8229303
Tl2AgMoF6,225,4,10,-2.035087785,0.546,0.017301773,5441111
TlFeAg2F6,225,4,10,-1.624622726,0.503,0.230985954,6218344
Tl2CuMoF6,225,4,10,-1.9921841,0.559,0.065333138,5450186
TlGeF3,65,3,5,-2.155187013,1.251,0.084392415,8267306
TlGeF3,140,3,10,-2.123165991,0.986,0.116413438,8290721
Tl2HgGeF6,225,4,10,-2.110156576,2.048,0.129422853,6451400
CdAgF3,221,3,5,-1.775380371,0.92,0.166501473,8212223
CdAgF3,2,3,20,-1.889624138,0.883,0.052257705,8207951
CdAgF3,62,3,20,-1.924642618,0.881,0.017239225,8532262
HNO3,11,3,10,-0.628462464,3.474,0.092319367,9749315
HNO3,161,3,10,-0.455486924,2.803,0.265294907,8879011
TlHgF3,140,3,10,-1.764988815,2.44,0.039941112,8290724
TlHgF3,123,3,5,-1.753098811,1.74,0.051831116,8212742
TlHgF3,65,3,5,-1.758084595,1.737,0.046845332,8212833
TlHgF3,221,3,5,-1.764800157,1.731,0.04012977,8211066
TlHgF3,127,3,10,-1.749487063,1.724,0.055442864,8287104
TlIn2BiF6,225,4,10,-2.109817593,1.287,0.181257562,8307305
Tl2AgBiF6,225,4,10,-2.049246045,1.459,0.065238505,6451261
Tl2CuSbF6,225,4,10,-2.006467927,0.59,0.138054258,6451054
Tl2InMoF6,225,4,10,-2.130705159,1.166,0.144566075,6411176
Tl2NiGeF6,225,4,10,-2.033619876,0.684,0.206073904,6411168
ZnAgF3,62,3,20,-1.980225056,1.56,0.034052786,8538166
ZnAgF3,221,3,5,-1.952043561,1.535,0.062234281,43143
Tl2NiHgF6,225,4,10,-1.861745526,0.557,0.002700317,6411104
Tl2ReHgF6,225,4,10,-1.874585705,1.452,0.12231174,6411084
Tl2TcHgF6,225,4,10,-1.940444575,1.503,0,6411083
MnTl2PbF6,225,4,10,-2.327399114,0.684,0.038742315,6452142
TlIn2AgF6,225,4,10,-1.808271931,1.318,0.482803225,8307486
AlIn2AgF6,166,4,10,-2.49263157,2.961,0.182736338,8278653
