name,spacegroup,ntypes,natoms,delta_e,band_gap,stability,structure_id
Tl2CrInF6,225,4,10,-2.336949091,1.419,0.025012958,5450091
NaCoAg2F6,225,4,10,-1.885739111,1.223,0.0,6450425
Tl2ZnInF6,225,4,10,-2.225208331,1.089,0.093801958,5450196
Tl2ZnInF6,1,4,20,-2.222095717,0.971,0.096914573,6909260
Tl2ZnInF6,1,4,20,-2.222099274,0.97,0.096911016,6910119
MnInF3,11,3,20,-2.287964845,1.029,0.047383121,8430468
MnInF3,221,3,5,-2.292814746,0.929,0.04253322,8213327
MnInF3,65,3,5,-2.306092534,0.927,0.029255432,8252320
MnInF3,62,3,20,-2.289225791,0.904,0.046122175,8433166
MnInF3,140,3,10,-2.291713887,0.886,0.043634079,8219845
MnInF3,123,3,5,-2.289439762,0.776,0.045908204,8236360
MnInF3,127,3,10,-2.280300955,0.761,0.055047011,8274377
LiGaAg2F6,225,4,10,-2.253624623,2.216,0.008016097,7839776
LiPbF3,221,3,5,-2.783819847,3.967,0.070765178,8213417
NaFeAg2F6,225,4,10,-2.031167556,1.651,0.026792136,8229391
TlCdF3,65,3,5,-2.267910302,3.939,6.99e-05,8267264
TlCdF3,161,3,10,-2.240589182,3.867,0.027391006,8879018
TlCdF3,221,3,5,-2.267980188,3.865,0.0,7818582
TlCdF3,127,3,10,-2.245227865,3.864,0.022752323,8287089
TlCdF3,123,3,5,-2.247730962,3.829,0.020249226,8202348
TlCdF3,62,3,20,-2.253345477,3.816,0.014634711,8532253
TlCdF3,140,3,10,-2.247229129,3.604,0.020751059,8290705
TlCdF3,12,3,10,-2.238424852,3.492,0.029555336,8286943
NaGaAg2F6,225,4,10,-2.22336049,2.303,0.021373048,6450308
NaInAg2F6,225,4,10,-2.132027793,2.187,0.057781235,8232724
MgTl2HgF6,225,4,10,-2.403128761,3.564,0.014612822,5450656
AgBrO3,161,3,10,-0.212345599,2.327,0.034831854,8331981
TlZnF3,221,3,5,-2.321304326,4.145,0.02607268,8213384
TlZnF3,65,3,5,-2.347377006,4.084,0.0,8267385
TlZnF3,127,3,10,-2.325277013,4.045,0.022099993,8287117
TlZnF3,62,3,20,-2.313695308,4.033,0.033681698,8538153
TlZnF3,123,3,5,-2.328502718,3.976,0.018874288,8202443
ScTl2AgF6,87,4,10,-2.735564211,2.712,0.0,9242146
ScTl2AgF6,225,4,10,-2.722508985,2.406,0.013055226,6359007
PbCO3,148,3,10,-1.621698113,3.315,0.020362215,9979147
PbCO3,167,3,10,-1.615166261,3.247,0.026894067,8218799
PbSeO3,76,3,20,-1.26807847,3.136,0.019242818,8207907
PbSeO3,62,3,20,-1.26636362,2.407,0.020957669,8531747
MgTl2SnF6,225,4,10,-2.655563667,2.781,0.039563609,5450111
LiCrAg2F6,87,4,10,-2.287138023,1.619,0.0,6802362
LiTl2RhF6,14,4,20,-2.180734977,1.879,9.48e-05,6297661
LiTl2RhF6,14,4,20,-2.180734977,1.879,9.48e-05,6297771
LiTl2RhF6,225,4,10,-2.180829818,1.878,0.0,7770128
LiTl2RhF6,12,4,10,-2.180592162,1.875,0.000237656,6788073
LiTl2RhF6,225,4,10,-2.149836024,1.776,0.030993794,5450591
ScTl2CuF6,225,4,10,-2.670748908,0.669,0.083333082,6358806
MgAgF3,2,3,20,-2.762243029,2.32,0.0,8432572
MgAgF3,221,3,5,-2.750377383,2.267,0.011865646,8212238
MgAgF3,62,3,20,-2.734831643,2.219,0.027411386,8536274
MnTl2CdF6,225,4,10,-2.32263241,0.881,0.009107422,6410961
LiVAg2F6,14,4,20,-2.354422724,2.218,0.089400289,7977438
LiAlAg2F6,14,4,20,-2.612006532,2.449,0.038262725,8535732
LiAlAg2F6,225,4,10,-2.640689587,2.422,0.009579671,4046285
LiAlAg2F6,225,4,10,-2.650269258,2.422,0.0,4793513
MgTl2CuF6,225,4,10,-2.386466906,4.245,0.076154533,5450151
NaTl2RhF6,225,4,10,-2.197892421,2.016,0.0,180138
LiTl2IrF6,166,4,10,-2.057283014,2.316,0.077827793,8278784
LiTl2IrF6,225,4,10,-2.05643344,2.216,0.078677367,5450571
PtSeO3,62,3,20,-0.746304037,1.523,0.092487653,8432666
NaTlAg2F6,225,4,10,-1.817931322,1.937,0.083912615,8232477
ScTl2GaF6,225,4,10,-2.805453234,2.085,0.091221358,6359109
LiTl2AsF6,225,4,10,-2.318069421,4.303,0.065332034,6410867
NaAlAg2F6,225,4,10,-2.612673727,2.438,0.014405144,4793556
NaAlAg2F6,225,4,10,-2.603056171,2.325,0.0240227,4046228
YTl2AgF6,225,4,10,-2.714143008,1.895,0.058403692,6411001
LiTl2MoF6,225,4,10,-2.424814096,2.103,0.033327866,5450606
LiTl2MoF6,166,4,10,-2.408980668,2.075,0.049161294,8303220
LiTl2MoF6,12,4,10,-2.439403929,2.027,0.018738033,6283490
LiTl2MoF6,1,4,20,-2.439374527,1.825,0.018767435,6298998
LiTl2MoF6,1,4,20,-2.439374528,1.825,0.018767434,6299005
ScTl2InF6,87,4,10,-2.850021486,1.936,0.018494558,8276162
ScTl2InF6,225,4,10,-2.81113508,1.666,0.057380964,6360492
NaTl2IrF6,225,4,10,-2.080641828,2.108,0.032637934,8262506
NaTl2RuF6,225,4,10,-2.148919478,1.497,0.038328805,5450266
LiIn2GaF6,225,4,10,-2.509258329,2.993,0.046655314,5441011
LiIn2GaF6,166,4,10,-2.497520689,2.661,0.058392954,8256053
NaTl2AsF6,225,4,10,-2.309469495,3.914,0.039542981,5450256
NaTl2AsF6,87,4,10,-2.325089562,3.892,0.023922914,7894038
KTl2RhF6,225,4,10,-2.17018503,2.005,0.0,7774378
MnTlF3,65,3,5,-2.395499475,1.076,0.0,8267104
MnTlF3,221,3,5,-2.394118037,1.052,0.001381438,9615188
MnTlF3,11,3,20,-2.372497649,1.048,0.023001826,8522289
MnTlF3,62,3,20,-2.374575029,1.027,0.020924447,8533140
MnTlF3,140,3,10,-2.376946748,1.001,0.018552727,8219854
MnTlF3,123,3,5,-2.376191811,0.929,0.019307664,8212727
MnTlF3,127,3,10,-2.368504298,0.88,0.026995177,8287028
MnTlF3,12,3,10,-2.377071632,0.875,0.018427843,8286897
RbTl2RhF6,225,4,10,-2.101786313,2.064,0.037106383,8229591
NaTl2MoF6,12,4,10,-2.412289136,1.54,0.044100778,6788842
NaTl2MoF6,225,4,10,-2.456389914,1.529,0.0,9660351
NaTl2MoF6,225,4,10,-2.413754459,1.378,0.042635455,5450286
NaTl2MoF6,1,4,20,-2.427648654,1.366,0.02874126,6873316
CsTl2RhF6,225,4,10,-2.10328217,1.976,0.039070683,6218161
